scene,question,answer,evidence,qa_type
9、EXT. SCHOOL FOR THE DEAF - DAY,When does Max show her art project to Kate?,After Kate helps her into the van,"Kate kisses Max's head and helps her into the van, buckling her car seat. Max shows her an art project she's bringing home.",temporal references
45、INT. SHOPPING MALL - DAY,"In [45、INT. SHOPPING MALL - DAY], What is Max's behavioral state when Kate suggests showing Hodgepodge?",Nods eagerly,Max nods eagerly.,character states
56、INT. CAFETERIA - DAY,"In [56、INT. CAFETERIA - DAY], What is Brenda's behavioral state during the scene?","Makes an earnest, mocking face","Brenda folds her hands and makes an earnest, mocking face",character states
54、INT. FAMILY ROOM - DAY,"In [54、INT. FAMILY ROOM - DAY], What is Max's emotional state when Kate confronts her?",Confused and nervous.,"Max shakes her head, confused. She looks nervous.",character states
4、INT. DOCTOR BROWNING'S OFFICE - DAY,What caused Dr. Browning to ask Kate about her sobriety?,Kate's mention of driving by the wine shop.,"I drove by the wine shop, on my way home the other day.",causal/relational queries
21、INT. HOME FOR GIRLS - ENTRY - DAY,What does Kate notice during her hug with Sister Abigail?,Esther peering around the corner,"Kate gives her a warm hug. But mid-embrace, she notices something: Esther is at the end of the hallway, peering at them from around a corner.",detailed description
27、INT. HOME FOR GIRLS - BASEMENT - MORNING,What does Sister Judith ask while searching the storage area?,Yolanda? Are you hiding-down here?,SISTER JUDITH Yolanda? Are you hiding-down here?,dialogue/beliefs
44、INT. ESTHER'S BEDROOM - DAY,"In [44、INT. ESTHER'S BEDROOM - DAY], What is Esther's behavioral state regarding the jeans?",Resists wearing them,ESTHER: Jeans are ugly. ... That doesn't mean I have to look like a boy.,character states
48、INT. KITCHEN - DUSK,When does Kate plan to return to work?,After getting Esther settled.,"We'll get Esther settled, then I'll probably go back, to work.",temporal references
49、EXT. COLEMAN RESIDENCE - POOL - NIGHT -,When does Esther open the big present labeled 'FROMi DADDY'?,After she unwraps the book of sign language,She unwraps a BOOK OF SIGN LANGUAGE... She's opening a big present labeled 'FROMi DADDY',temporal references
28、INT. HOTEL ROOM -- MORNING -,What does Kate believe about the phone call?,She knows something is wrong before it's answered.,"She knows. Even before he answers the phone, somehow she knows.",dialogue/beliefs
48、INT. KITCHEN - DUSK,When does Kate mention teaching piano lessons?,After deciding not to return to Yale.,I'm not talking about Yale. I'm going to teach piano lessons from home.,temporal references
54、INT. FAMILY ROOM - DAY,"In [54、INT. FAMILY ROOM - DAY], How does Max behave after being told to take a time-out?",She pouts and follows Kate upstairs.,Max pouts and follows Kate upstairs.,character states
16、INT.-LAWYER'S OFFICE -- DAY,What does Kate do when the lawyer asks about her employment?,She hesitates.,Kate hesitates.,detailed description
38、INT. COLEMAN RESIDENCE - VARIOUS - DAY,What does Daniel ask John about Esther?,Why is she dressed like that?,"DANIEL
Why is she dressed like that?",dialogue/beliefs
7、EXT. COLEMAN RESIDENCE - DAY,What action does Kate perform in the backyard?,crosses the backyard into the nearby woods,Kate % crosses the backyard into the nearby woods.,detailed description
35、EXT. NEIGHBORBOOD' - DAY,"In [35、EXT. NEIGHBORBOOD' - DAY], What is Esther's behavioral state in the scene?",Soaks it all in,Esther soaks it all in,character states
49、EXT. COLEMAN RESIDENCE - POOL - NIGHT -,When does Daniel jump into the pool?,After John glances over his shoulder,John distractedly glances over his shoulder at him and Daniel does a huge cannonball into the pool,temporal references
31、INT: HOME FOR GIRLS - CHAPEL DAY,What does Kate say about Esther's openness?,"She really did open up with us, didn't she?","KATE She really did open up with us, didn't she?",dialogue/beliefs
40、INT. ESTHER'S BEDROOM - NIGHT,When does Esther watch her parents leave?,After they turn out the light and close the door,Then he and Kate turn out the light and close the door. Esther watches them go...,temporal references
32、EXT. HOME FOR GIRLS - DAY.,What does Sister Abigail tell Esther before she leaves?,"If you ever need anything, please don't hesitate to call.","SISTER ABIGAIL If you ever need anything, please don't hesitate to call.",dialogue/beliefs
