scene,question,answer,evidence,qa_type
38、EXT. B.P.R.D. COMPLEX - GATE ENTRANCE - DAY,"In [38、EXT. B.P.R.D. COMPLEX - GATE ENTRANCE - DAY], What is Myers' physical condition?",Very wet and shivering,"very wet YOUNG MAN named MYERS, shivering",character states
24、EXT. CHAPEL RUINS - NIGHT,When does Matlin take the photo?,After directing the soldiers into a group shot,Matlin prepares his camera and directs them into a group shot. CLICK!!!,temporal references
35、INT. DOCTORS OFFICE - EXAMINATION ROOM - DAY,What does Broom say about getting a second opinion?,He says it won't be necessary.,BROOM: 'That won't be necessary.',dialogue/beliefs
31、INT. ICE CAVE - MAIN NAVE - DAY,"In [31、INT. ICE CAVE - MAIN NAVE - DAY], Where is the scene set?",A cathedral-like vault,A cathedral-like vault that could easily hold a stadium.,scene localization
"29、EXT. HIGH MOUNTAINS (SET), EASTERN EUROPE - DAY","In [29、EXT. HIGH MOUNTAINS (SET), EASTERN EUROPE - DAY], What is the guide's emotional state when examining his pay?",Greedy,examines his pay greedily,character states
"28、EXT. HIGH MOUNTAINS, EASTERN EUROPE - DAY","In [28、EXT. HIGH MOUNTAINS, EASTERN EUROPE - DAY], Where do the three figures climb during the snowstorm?","Birgau Pass, Moldavia","Super: BIRGAU PASS, MOLDAVIA, PRESENT DAY.",scene localization
46、INT. HELLBOY'S DEN - NIGHT,What does Hellboy say about the comics?,They never got the eyes right.,Those comics -- They never got the eyes right.,dialogue/beliefs
8、EXT. NEARBY - BROOM - NIGHT,Why does Broom say they don't have forty minutes?,The backup from Londonderry is forty minutes away.,"RADIO MAN: Londonderry, sir. Forty minutes away. BROOM: We don't have forty minutes.",causal/relational queries
63、EXT. AN ALLEY - BEHIND MACHEN LIBRARY - NIGHT,When does Hellboy hand Myers the gun and a fresh clip?,After Hellboy tries to reload but his arm hurts.,"He grabs his gun and tries to reload, but his arm hurts too much. Hellboy... Here -- He hands him the gun and a fresh clip.",temporal references
10、EXT. BEHIND THE ALTAR - NIGHT,"In [10、EXT. BEHIND THE ALTAR - NIGHT], What symbol is engraved on Von Krupt's pocket watch?",A swastika,On the gold lid: a SWASTIKA.,terminology/abbreviation/concept
1、INT. DARKROOM - INTERVIEW,What does OLD MATLIN claim to possess?,the negative,But I have the negative.,dialogue/beliefs
66、EXT. WEST SIDE STREET - NIGHT,What happens to the 4X4 after Hellboy stops it?,It somersaults over them and lands with a thud.,"The impact somersaults the car over them both. It lands with a thud on the street, air bags exploding.",detailed description
50、INT./EXT. GARBAGE TRUCK LAB - LIBRARY CROWD - NIGHT,"In [50、INT./EXT. GARBAGE TRUCK LAB - LIBRARY CROWD - NIGHT], What does Abe claim about Hellboy's dating prospects?","Liz left us, Red. Take the hint.","ABE
Liz left us, Red. Take the hint.",dialogue/beliefs
19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What item does Broom grab from a dead G.I.'s belt?",A grenade,Broom crawls to a dead G.I. and grabs a grenade from his belt.,objects/props
21、EXT. INSIDE THE CHURCH - NIGHT,"In [21、EXT. INSIDE THE CHURCH - NIGHT], What does Broom pick up from the outer rings of the smoking machine?","A sample of white, viscous goo","He picks up a sample of white, viscous goo from the outer rings of the smoking machine.",objects/props
