scene,question,answer,evidence,qa_type
75、INT. ECTO-2 - DAY (CONTINUOUS ACTION),"In [75、INT. ECTO-2 - DAY (CONTINUOUS ACTION)], What is Stantz's emotional state during the ride?",Maniacal and demonically smiling,maniacal ride and smile demonically,character states
22、INT. DANA'S APARTMENT - DAY (LATER),What is the apartment's condition and furniture style?,Old and creatively furnished with a mix of modern and traditional pieces,The apartment is old and creatively furnished with a comfortable mix of modern and traditional pieces.,detailed description
2、EXT. EAST 77TH STREET - DAY,"In [2、EXT. EAST 77TH STREET - DAY], What is Dana Barrett's emotional state when she asks Frank for help?",exasperated,DANA (exasperated),character states
11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),"In [11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION)], What is the little boy's emotional state when he sees the Ghostbusters?",Disappointed and hostile,KIDS (disappointed) Ghostbusters!! Boooo!!,character states
26、INT. RESTORATION STUDIO - SAME TIME,What does Vigo do after coming to life?,"He turns toward Janosz, gestures dramatically, and speaks in a commanding voice.","The figure of Vigo comes to life, turns toward Janosz and gestures dramatically at him. Then he speaks to Janosz in a commanding voice.",detailed description
26、INT. RESTORATION STUDIO - SAME TIME,"In [26、INT. RESTORATION STUDIO - SAME TIME], What happens to Janosz when he touches his brush to the canvas?","A powerful current of red crackling energy surges through his body, driving him to his knees.","He touches his brush to the canvas and a powerful current of red, crackling energy surges through the brush and courses through his body, driving him to his knees.",detailed description
11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),"In [11、INT. BROWNSTONE - DAY (CONTINUOUS ACTION)], What action does Stantz take after the boy kicks him?",Grabs him by the shirtfront and threatens him,Stantz grabs him by the shirtfront. 'I'm watching you.',character states
81、INT. FIREHOUSE - LAB AREA - SAME TIME,"In [81、INT. FIREHOUSE - LAB AREA - SAME TIME], What emotional state is Louis in after accidentally firing at the wall?",Embarrassed and apologetic.,Oh migod! I'm sorry. I didn't mean to do that. It was an accident.,character states
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),What does Milton claim about his prediction?,He has a strong psychic belief in the date.,MILTON I didn't just make up the date. I have a strong psychic belief that the world will end on New Year's Eve.,dialogue/beliefs
32、INT. VAN HORNE STATION - NIGHT (CONTINUOUS ACTION),What is the purpose of Venkman and Spengler feeding Stantz more cable?,To enable him to pan the flashlight down the wall and floor.,"As Venkman and Spengler feed him some more cable, he pans his flashlight down the wall of the station, then onto the floor.",causal/relational queries
43、INT. COURTROOM - WITNESS STAND - DAY (LATER),"In [43、INT. COURTROOM - WITNESS STAND - DAY (LATER)], What substance is contained in Exhibit F?",The slime sample Stantz removed from the tunnel,She goes to the exhibit table and picks up a specimen jar containing the slime sample Stantz removed from the tunnel.,objects/props
34、INT. VAN HORNE STATION - STANTZ - NIGHT,When do the arms emerge from the slime?,After Stantz scoops a sample of the slime,"Reaching down, he scoops up a sample... Suddenly, a grotesque arm",temporal references
24、EXT. EAST 77TH STREET - DAY (LATER),What happens when Spengler uses the Giga-meter at the spot where the buggy stopped?,The device clicks wildly and the indicator goes into the red zone.,Spengler switches on the Giga-meter... the indicator goes right into the red zone and the DEVICE starts CLICKING WILDLY.,detailed description
10、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),"In [10、INT. BROWNSTONE - DAY (CONTINUOUS ACTION)], What is Stantz's behavioral state?",He is professional and focused.,"He says, 'All business' and adjusts equipment before entering the room.",character states
21、INT. RAY'S OCCULT BOOKS - CONTINUOUS,What is Ray wearing and what is he doing?,"An old cardigan sweater over a T-shirt, wearing reading glasses, and chewing a battered, reeking pipe.","Ray sits on a barstool behind the counter wearing an old cardigan sweater over a T-shirt. He has on a pair of reading glasses and chews on a battered, reeking pipe.",detailed description
50、INT. BEDROOM SET (TV COMMERCIAL - FULL SCREEN VIDEO) - NIGHT,When is Winston seen pretending to trap the ghost?,During Stantz's speech,"During his speech, Winston can be seen in the b.g. pretending to trap the fake ghost.",temporal references
41、INT. HALLWAY OF DANA'S BUILDING - NIGHT (CONTINUOUS ACTION),What happens after Janosz stands in semi-darkness?,His eyes light up and he walks off down the hall.,"Janosz stands there in semi-darkness, then his eyes light up like headlights and he walks off down the hall.",temporal references
52、EXT. FIREHOUSE - DAY (LATER),"In [52、EXT. FIREHOUSE - DAY (LATER)], What sound does the ECTOMOBILE produce?",Ghostly siren moaning and wailing,its ghostly SIREN MOANING and WAILING,objects/props
42、INT. COURTROOM - WITNESS STAND - NEXT DAY,When does the JUDGE make his statement about ghosts?,Before the court proceeds with the case,I want to make one thing very clear before we go any further.,temporal references
40、INT. DANA BARRETT'S APARTMENT - NIGHT (SAME TIME),When does the doorbell ring?,After she checks on the baby,She crosses to the nursery... Suddenly the DOORBELL RINGS,temporal references
28、EXT. EAST 77TH STREET - NIGHT (CONTINUOUS ACTION),What is Spengler doing when the police arrive?,JACKHAMMERING a hole in the middle of the street,"Spengler, wearing a hardhat, is JACKHAMMERING a hole in the middle of the street.",detailed description
71、INT. ECTO-2 - DAY (LATER),What does Stantz say to another driver?,"Idiot! Move it, you jerk!","STANTZ (to another driver) Idiot! (honking) Move it, you jerk!",dialogue/beliefs
70、EXT. MUSEUM - DAY (LATER),What does Spengler say about the studio's PKE levels?,The PKE levels were max-plus and the Giga-meter was showing all red.,There's definitely something going on in that studio. The PKE levels were max-plus and the Giga-meter was showing all red.,dialogue/beliefs
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),What does Milton predict about the world's end?,The world will end at midnight on New Year's Eve.,MILTON I predict that the world will end at the stroke of midnight on New Year's Eve.,dialogue/beliefs
