scene,question,answer,evidence,qa_type
38、INT. CASINO,What action does Austin take to avoid attention?,Use a cover name,I'm going to use a cover name. It's important that it be a generic name so that we don't draw attention to ourselves.,detailed description
55、INT. HOTEL SUITE,"In [55、INT. HOTEL SUITE], What photo does Vanessa hold up to block Austin's view?",a photo of Number Two,"Vanessa holds up a photo of Number Two and looks at it, blocking his naughty parts.",objects/props
17、INT. CLUB - BACK ROOM,"In [17、INT. CLUB - BACK ROOM], What fills the egg chair after Dr. Evil enters?",WHITE MIST,The chair fills with a WHITE MIST.,objects/props
48、INT. TEXAN'S STALL,"In [48、INT. TEXAN'S STALL], What is the Texan's emotional state after hearing the information?",The Texan is concerned.,"The Texan hears all of this, and is now concerned.",character states
2、INT. DR. EVIL'S PRIVATE QUARTERS - DAY,"In [2、INT. DR. EVIL'S PRIVATE QUARTERS - DAY], What is Frau Farbissina's attire?",A severe Salvation Army uniform,FRAU FARBISSINA in a severe Salvation Army uniform.,character states
24、INT. M.O.D. - CRYOGENIC STORAGE FACILITY,"In [24、INT. M.O.D. - CRYOGENIC STORAGE FACILITY], Where are the characters in suspended animation located?",Cryogenic holding berths,"They pass a row of cryogenic holding berths, each containing a naked PERSON in suspended animation",scene localization
46、INT. TEXAN'S STALL,What does the Texan say?,Show that turd who's boss!,TEXAN That's right! Show that turd who's boss!,detailed description
39、INT. CASINO,When does Austin take off his glasses?,After the dealer deals him the ten.,The dealer deals him the ten. NUMBER TWO You're very brave. AUSTIN Cards are not my bag... Austin takes off his glasses.,temporal references
25、INT. EXAMINATION AREA,"In [25、INT. EXAMINATION AREA], What is Austin's physical condition after the cryogenic process?","He is lying in a bed tilted up in an extreme angle, weakly speaking.",Austin lies in a bed tilted up in an extreme angle la Dr. Frankenstein's lab. (weakly) Where am I?,character states
65、INT. ALOTTA'S JAPANESE STYLE PENTHOUSE,"In [65、INT. ALOTTA'S JAPANESE STYLE PENTHOUSE], What device does Austin use to photograph the dossier?",A miniature camera/pendant.,Austin's photographing the dossier with his miniature camera/pendant.,objects/props
74、INT. CASINO BAR - NIGHT,Why do the eight young people shoot Austin sarcastic peace signs?,Because he raises a ZIMA bottle to join their group,"Austin raises a bottle of ZIMA as if to say 'hey, I'm down with that'. They shoot him sarcastic peace signs.",causal/relational queries
8、EXT. CARNABY STREET,What does 'FULL SCREEN INSERT' refer to in the passage?,A cinematic technique showing a close-up of an object.,FULL SCREEN INSERT - AUSTIN'S PASSPORT,terminology/abbreviation/concept
16、INT. ELECTRIC PSYCHEDELIC PUSSYCAT SWINGER'S CLUB,How does Mrs. Kensington disable the assassin's weapon?,KICKS the knife out of his hand,Mrs. Kensington kicks the knife out of his hand,detailed description
