scene,question,answer,evidence,qa_type
13、INT. SIGNAL HILL DOGHOUSE - DAY,Why is Bobby in a buoyant mood?,He laid down a winning poker hand.,"Bobby, in a buoyant mood, lays down a winning poker hand",causal/relational queries
40、INT. RECORDING STUDIO - DAY,What caused Carl to sprain his neck?,He ran into a Jeep while riding his bicycle.,"11 months ago he was on his bicycle, on his way to the post office in La Roche... and he ran into a Jeep and sprained his neck.",causal/relational queries
13、INT. SIGNAL HILL DOGHOUSE - DAY,What caused Bobby to rake in the pile of bills and change?,He laid down a winning poker hand.,Bobby... lays down a winning poker hand and rakes in a pile of bills and change,causal/relational queries
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [11、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What is Rayette's emotional state after Bobby's hesitant answer?",Filled with forgiveness.,fill her with forgiveness,character states
9、INT. RAYETTE'S LIVING ROOM - NIGHT,When does Bobby prevent Rayette from moving to the stereo?,After she starts for the stereo and he takes hold of her hand.,"As she starts for the stereo, he takes hold of her hand.",temporal references
28、INT. BOBBY'S CAR - FREEWAY - DAY,What does Elton yell at Bob to do?,Get his butt off there and come on now.,"Again, Elton leans out the window, yelling at him: ELTON You better get your butt off there, Bob! Come on, now!!",dialogue/beliefs
2、INT. RECITAL HALL GREEN ROOM - NIGHT,What is Bobby's mother doing to his hair?,Combing it with maternal concentration,His mother combs his hair with maternal concentration.,detailed description
38、INT. RECORDING STUDIO - DAY,Why did Bobby check the door numbers?,To locate Studio A,"Bobby... moves through a network of hallways, checking the door numbers. He arrives at a door designated as Studio A.",causal/relational queries
23、EXT. TRUCK - FREEWAY - DAY,When does Bobby reveal the upright piano?,After he pauses to look beneath the padded protector,"On his way out of the truck, Bobby pauses to look beneath one of the padded protectors, then pulls it off to reveal an upright piano.",temporal references
45、INT. RAYETTE'S LIVING ROOM - DAY,What happens to Tammy Wynette during Bobby's action?,She is stifled by the record player's arm,pulling it across the grooves and stifling Tammy Wynette,detailed description
44、INT. BOBBY'S CAR - DAY,Why does he throw the car into gear?,Because he is angry,angrily throws it into gear,causal/relational queries
9、INT. RAYETTE'S LIVING ROOM - NIGHT,When does the song conclude?,After Rayette kisses Bobby and he drinks from the can.,"The song concludes, and setting aside her ardor for the moment:",temporal references
12、EXT. SIGNAL HILL DERRICK - DAY,"In [12、EXT. SIGNAL HILL DERRICK - DAY], What is Bobby's experience level with the rig operations?",He is a novice.,Bobby is still somewhat of a novice in the operations of the rig.,character states
36、EXT. SIGNAL HILL RIG - DAY,What does Elton say about the woman's reaction to the situation?,"She's all tore up about it, which I hate a see.","ELTON (CONT'D) That's right. She told me. An' she's all tore up about it, which I hate a see.",dialogue/beliefs
20、EXT. FREEWAY - DAY,"In [20、EXT. FREEWAY - DAY], What is Bobby's behavioral state?",Looking for the cause of the jam,"Bobby steps up onto the fender of a car, looking for the cause of the jam",character states
6、EXT. BOBBY'S CAR - NIGHT,"In [6、EXT. BOBBY'S CAR - NIGHT], Where does the car move to after leaving the Hill?",The seamy districts adjacent to the Hill,moves off the Hill into the seamy districts adjacent to it,scene localization
