scene,question,answer,evidence,qa_type
29、INT. AUDITORIUM - THAT EVENING,Why did Annabelle become terrified during her performance?,Rachel's camera flashes disrupted her concentration.,"Rachel POPS UP next to the stage with her huge PROFESSIONAL CAMERA and giant flash. Her camera FLASHES three times, quickly. After each flash, we see the picture for a split second, Annabelle. A TERRIFIED ear of corn.",causal/relational queries
18、INT. JACKIE'S KITCHEN - MORNING,"In [18、INT. JACKIE'S KITCHEN - MORNING], What is Ben's emotional state when he enters?",Ebullient,Ben is ebullient.,character states
28、INT. POLICE STATION - DAY,"In [28、INT. POLICE STATION - DAY], What is Jackie's emotional state when she sees Ben?",Shaking with relief,"holds him to her chest, shaking",character states
16、INT. BEN'S ROOM - RACHEL'S AND LUKE'S HOUSE - NIGHT,"In [16、INT. BEN'S ROOM - RACHEL'S AND LUKE'S HOUSE - NIGHT], Where does Rachel read 'Goodnight Moon' to Ben?",The great green room,In the great green room there was a telephone and a red balloon...,scene localization
25、EXT. PARK MEN'S ROOM,"In [25、EXT. PARK MEN'S ROOM], What is Rachel's emotional state?",Panicked,"Panicked, she grabs Annabelle's hand.",character states
35、INT. RADIOLOGY LAB - AFTERNOON,"In [35、INT. RADIOLOGY LAB - AFTERNOON], How does Jackie react when the technician asks about the time?",She turns and suddenly focuses,"Jackie turns, suddenly focusing...",character states
32、EXT. JACKIE'S HOUSE - NIGHT,"In [32、EXT. JACKIE'S HOUSE - NIGHT], What emotional state does Luke display after Jackie's question about Rachel?",Saddened,He shrugs. Looks saddened by that.,character states
"10、EXT. SCHOOL, ENGLEWOOD, NEW JERSEY - MOMENTS LATER",What does Jackie request regarding the schedule?,She wants to switch next Friday for Thursday.,I need to switch next Friday for Thursday...,dialogue/beliefs
24、EXT. CENTRAL PARK CASTLE - DAY,"In [24、EXT. CENTRAL PARK CASTLE - DAY], What physical condition is Annabelle in later in the scene?",Asleep and feeling nauseous,Annabelle asleep on the bench... I feel like I'm gonna throw up,character states
19、INT. YMCA KITCHEN - DAY,"In [19、INT. YMCA KITCHEN - DAY], What is Rachel's emotional state when mentioning their weekend?",Experiencing quiet pain,RACHEL (quiet pain),character states
24、EXT. CENTRAL PARK CASTLE - DAY,"In [24、EXT. CENTRAL PARK CASTLE - DAY], What is Annabelle's emotional state when waiting with Ben?",Glum and bored,A glum Annabelle and Ben sitting on a bench watching Rachel at her photo shoot,character states
