scene,question,answer,evidence,qa_type
37、INT. MUSEUM CORRIDOR - DAY,What are the characteristics of the dinosaur bones in the landscape?,Crouching skeletons with blank eye sockets and gaping fangs.,"eerie landscape of dinosaur bones - crouching skeletons with blank eye sockets, gaping fangs",detailed description
18、EXT. QUINN'S HOSPITAL - PARKING LOT - NIGHT (RAINING),"In [18、EXT. QUINN'S HOSPITAL - PARKING LOT - NIGHT (RAINING)], What is Clarice's behavioral state as she approaches the asylum?",Running through heavy rain towards the main entrance,"Clarice climbs from her car, runs through heavy rain towards the main entrance",character states
4、INT. CHILTON'S OFFICE - BALTIMORE STATE HOSPITAL FOR THE,What causes Dr. Chilton's inappropriate behavior towards Clarice?,His smarmy nature and instant attraction to her.,"A smarmy little peacock... conceived an instant, hopeless letch for Clarice.",causal/relational queries
46、INT. DR. LECTER'S CORRIDOR - DAY,How is Dr. Lecter being moved through the corridor?,He is being pushed on a rolling hand truck by Barney.,being pushed down his corridor by Barney,detailed description
25、INT. HALLWAY - CLASSROOM BUILDING - DAY,What is the purpose of Clarice's equipment?,To print a floater and document the body.,Clarice mentions needing the fingerprint kit and Polaroid for the task Jack assigned.,causal/relational queries
33、INT. MR. GUMB'S CELLAR - DAY (DIM LIGHT),What does Mr. Gumb tell Catherine to do with the cream?,Rub the cream on your skin. Rub it in gooood...,MR. GUMB (softly) Rub the cream on your skin. Rub it in gooood...,dialogue/beliefs
"29、EXT. SIDEWALK OF THE FUNERAL HOME - POTTER, WEST VA. - DAY","In [29、EXT. SIDEWALK OF THE FUNERAL HOME - POTTER, WEST VA. - DAY], Where does Clarice see people filing into a service?",Mortuary,"COUNTRY PEOPLE in their somber best, filing into the mortuary for a service.",scene localization
53、EXT. FBI ACADEMY GROUNDS - QUANTICO - DAY,How much time do they have before the deadline?,less than 30 hours,We've got less than 30 hours.,temporal references
44、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,"In [44、INT. DR. LECTER'S CELL AND CORRIDOR - DAY], What does Dr. Lecter use as a model for his sketches?",His own hand and forearm,He uses his own hand and forearm as a model.,detailed description
"3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY","In [3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY], What is Crawford's emotional state when he meets Clarice?",Tired and haunted.,"He looks tired, haunted.",character states
12、INT. CRAWFORD'S BEDROOM - NIGHT,"In [12、INT. CRAWFORD'S BEDROOM - NIGHT], What is Bella Crawford's medical condition?","She is comatose with shallow, labored breathing.","Bella Crawford... breathing is shallow, very labored. Crawford looks down at his comatose wife",character states
8、EXT. THE HOSPITAL - PARKING LOT - DAY,"In [8、EXT. THE HOSPITAL - PARKING LOT - DAY], What is Clarice's emotional state as she exits the asylum?",Badly shaken and almost stumbling,"She is badly shaken, almost stumbling, as she rubs at her face.",character states
"3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY","In [3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY], How does Clarice react when mentioned Hannibal Lecter?",She stops walking and goes very still.,"Clarice stops walking, goes very still.",character states
16、EXT. STORAGE UNIT NUMBER 31 - DUSK,What does Clarice ask Mr. Yow to do if the door falls down?,Ask Mr. Yow to call the Baltimore field office.,CLARICE: ...call this number? It's our Baltimore field office.,dialogue/beliefs
38、INT. MUSEUM OFFICE - DAY,What does Pilcher say when he sees Clarice?,Officer Starling. Welcome back.,"PILCHER (V.O.) No fair! You lured him with produce. CLARICE (O.S.) If the beetle moves one of your men, does that count? They look up, delighted to see Clarice in the doorway. Both men are hopelessly smitten by her. RODEN Of course it counts. How do you play? PILCHER (grins) Officer Starling. Welcome back.",dialogue/beliefs
49、INT. THE SURVEILLANCE VAN - DAY,"In [49、INT. THE SURVEILLANCE VAN - DAY], What is Crawford's emotional state during the phone call?",Stunned,CRAWFORD (on phone; stunned) Transferred...?,character states
47、INT. DR. LECTER'S CELL - DAY,When does Chilton plan to give Dr. Lecter to Baltimore Homicide?,After Crawford gets through milking him.,"CHILTON: When Crawford gets through milking you, he's giving you to Baltimore Homicide...",temporal references
51、INT. THE SURVEILLANCE VAN - DAY,What happens after the long pause?,Crawford says 'Let him land' into the phone,Long pause. CRAWFORD (into phone) Let him land.,temporal references
36、EXT. SMITHSONIAN - MUSEUM OF NATURAL HISTORY - DAY,What does Crawford say about the target's parentage?,He didn't know she's a Senator's child.,I don't think he knew that she's a Senator's child.,dialogue/beliefs
34、INT.CLARICE'S DORM ROOM - FBI ACADEMY - DAWN,What does Ardelia say to Clarice?,You better come see this.,"ARDELIA
You better come see this.",dialogue/beliefs
23、EXT. THE PARKING LOT - NIGHT,Why did the truck knock over Catherine's grocery bag?,"The truck backed up, causing the rear wheel to hit the bag.","The truck backs up, one rear wheel knocking over the bag",causal/relational queries
52、INT.CLARICE'S DORM ROOM - DOORWAY - DAY,"In [52、INT.CLARICE'S DORM ROOM - DOORWAY - DAY], What is Clarice's emotional state?",Furious,She's furious.,character states
39、INT. ENTOMOLOGY CORRIDOR - DAY,"In [39、INT. ENTOMOLOGY CORRIDOR - DAY], Where do Clarice and the two men walk as they discuss the cocoon?",A hall lined with mounted insects,MOVING ANGLE as Clarice and the two men go briskly down a hall lined with mounted insects,scene localization
