id,scene,question,answer,evidence,qa_type
25,6、INT. ORIENT EXPRESS - AFTERNOON,What does Frank say after tearing the zipper?,I'm... sorry.,"FRANK
I'm... sorry.",dialogue/beliefs
26,29、EXT. VENICE - DAY,What is the camera moving toward?,the penthouse of an ultra-high end business hotel,CAMERA floats over the rooftops toward the penthouse of a ultra-high end business hotel.,detailed description
27,"20、EXT. VENICE, GRAND CANAL - DAY","In [20、EXT. VENICE, GRAND CANAL - DAY], What is Frank's emotional state?",Afraid to wake up,"Frank, clutching the railing beside her, afraid to wake up.",character states
28,I/E. DOGE'S SUITE/BALCONY - RESUME,"In [I/E. DOGE'S SUITE/BALCONY - RESUME], What is Cara's current behavioral state?",She is still kissing Frank.,"Still kissing, Cara leads Frank back into the hotel room...",character states
29,"56、INT. TERRACE FLAT, PADUA - EVENING","In [56、INT. TERRACE FLAT, PADUA - EVENING], What object did Domenico find at the hotel?",A shell casing,I found a shell casing,objects/props
30,"46、EXT. RIVA DEGLI SCHIAVONI, VENICE - DAY",What causes Frank to fall off the roof?,The silenced shot hitting the roof tile nearby,A silenced shot hits roof tile nearby and throws him off balance. He FALLS...,causal/relational queries
31,44、INT. SERVICE STAIRCASE - SECONDS LATER,Why is Frank panting as he exits the side door?,Because he ran harder than he ever has in his life,Frank pants as he pushes out a side door...,causal/relational queries
32,33、INT. DOGE'S SUITE - NIGHT,When does Frank follow Cara outside?,After she opens the balcony doors,She throws open the French doors to the balcony,temporal references
33,6、INT. ORIENT EXPRESS - AFTERNOON,What does Cara say when she needs assistance?,I think I'm going to need your help.,"CARA
I think I'm going to need your help.",dialogue/beliefs
34,"72、INT. BEDROOM, ""SAFE HOUSE"" - CONTINUOUS",What does The Englishman say about the recipe?,He needs a recipe from a Tuscan cookbook to surprise the guests.,THE ENGLISHMAN (V.O.) There's a recipe in a Tuscan cookbook there I need. Would you look it up for me? THE ENGLISHMAN I want to make sure our guests are surprised.,dialogue/beliefs
35,"52、INT. DOGE'S SUITE, DANIELI - EVENING",When does Scarface step out from the other room?,After Domenico and the clerk exit,"As he and the clerk exit, Scarface steps out from the other room.",temporal references
36,"51、INT. HOTEL CORRIDOR, DANIELI - EVENING","In [51、INT. HOTEL CORRIDOR, DANIELI - EVENING], Where is Domenico taken by the hotel clerk?",The Doge's suite,Domenico whistles as a hotel clerk escorts him to the Doge's suite.,scene localization
37,70、EXT. PIAZZA SAN MARCO - EVENING,What does The Englishman instruct Cara to avoid on the phone?,No names.,No names. Not on the phone.,dialogue/beliefs
38,"27、INT. INTERPOL FIELD HQ, VENICE - DAY",What action does Goyal perform in the scene?,"Weaves through a sprawling mess of personnel and equipment, cell phones, computers, and cables","CAMERA TRACKS WITH GOYAL as he weaves through a sprawling mess of personnel and equipment, cell phones, computers and cables from various national agencies",detailed description
39,30、INT. DEMIDOV'S HOTEL ROOM - DAY,"In [30、INT. DEMIDOV'S HOTEL ROOM - DAY], What is Quinn's profession?",Swiss Interpol agent,"Quinn, the Swiss Interpol agent.",character states
40,29、EXT. VENICE - DAY,How does the camera move in the scene?,floats over the rooftops,CAMERA floats over the rooftops toward the penthouse of a ultra-high end business hotel.,detailed description
41,"2、INT. GARE DE L'EST, PARIS - DAY","In [2、INT. GARE DE L'EST, PARIS - DAY], What behavioral state does Cara Mason exhibit?",She shows no sign of noticing the men staring,CARA MASON ... shows no sign of noticing. She wears dark glasses...,character states
42,18、INT. TRAIN AISLE - MOMENTS LATER | 19、EXT. VENICE TRAIN STATION - MORNING | 37、INT. DOGE'S SUITE - CONTINUOUS,What does Cara state about Frank's actions when she tells him to leave Venice?,Cara states that Frank did nothing wrong.,"Cara replies that he did nothing, and that she’s sorry.",character states
43,"24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS | 33、INT. DOGE'S SUITE - NIGHT",What does Cara state about being in Venice alone?,Cara states that she would have been bored in Venice alone because there is more than enough room for two.,Cara remarks that she would have been bored here alone — there's more than enough room for two.,character states
44,"44、INT. SERVICE STAIRCASE - SECONDS LATER | 47、INT. LEATHER SHOP - DAY | 45、EXT. RIO DEL VIN CANAL, VENICE - DAY | 46、EXT. RIVA DEGLI SCHIAVONI, VENICE - DAY",Why did Frank fall after getting on the vendor's bicycle?,"Frank fell because the bicycle moved too slowly, causing him to lose his balance when he abruptly jumped off.","The bicycle moves too slowly, and Frank abruptly jumps off, losing his balance and falling hard.",causal/relational queries
45,"24、EXT. BALCONY, DANIELI HOTEL - DAY | 6、INT. ORIENT EXPRESS - AFTERNOON | 26、EXT. BALCONY - MOMENTS LATER",What does Cara state about the room on the balcony?,Cara states that there is more than enough room for two.,Cara says she would have been bored there alone and adds that there’s more than enough room for two.,character states
46,"24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS | 24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS",What does Cara state about Frank's actions when she tells him to leave Venice?,Cara states that Frank did nothing wrong.,"She replies that he did nothing, apologizes, and walks toward her bedroom.",character states
47,"6、INT. ORIENT EXPRESS - AFTERNOON | 24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS",What does Cara state to Frank when he asks what he did wrong?,Cara states that he did nothing and apologizes.,"When Frank asks, 'What... what did I do?', Cara responds, 'Nothing,' she says quietly. 'I'm sorry.'",character states
48,"24、EXT. BALCONY, DANIELI HOTEL - DAY | 39、INT. DOGE'S SUITE - MORNING | 41、INT. CARA'S BEDROOM - MOMENTS LATER | 42、EXT. BALCONY - DAY",What does Frank say about the sofa when Cara offers to have another one brought up?,Frank says the sofa is fine and perfect.,"He quickly masks it. ""No, no, no. The sofa's fine. Perfect in fact,"" he says.",character states
49,"42、EXT. BALCONY - DAY | 46、EXT. RIVA DEGLI SCHIAVONI, VENICE - DAY",What happens to Frank immediately after he falls from the roof ridge?,"He reaches for the gutter, hits his head on the wall, lands on the pavement beside the canal, gets up quickly, and runs back toward the lagoon.","As he falls, he reaches for the gutter, his hand slamming against it and his head striking the wall. He drops onto the pavement beside the small canal and quickly gets up, doubling back toward the lagoon.",temporal references
50,"41、INT. CARA'S BEDROOM - MOMENTS LATER | 44、INT. SERVICE STAIRCASE - SECONDS LATER | 46、EXT. RIVA DEGLI SCHIAVONI, VENICE - DAY",What happens immediately after Frank breaks the key off in the lock?,Frank turns and runs toward the balcony just as the door bursts open behind him.,Frank turns and runs barefoot toward the balcony just as the door bursts open behind him.,temporal references
51,"24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS | 24、EXT. BALCONY, DANIELI HOTEL - DAY | 37、INT. DOGE'S SUITE - CONTINUOUS",Why does Cara tell Frank to leave Venice?,"Cara tells Frank to leave Venice because she believes the city is meant for lovers, not for someone recovering from a failed engagement.","She tells him he should leave Venice the next day, saying the city is for lovers, not for recovering from a failed engagement.",causal/relational queries
52,"32、EXT. BISTRO - AFTERNOON | 34、EXT. BALCONY - NIGHT | 24、EXT. BALCONY, DANIELI HOTEL - DAY",What does Cara state about how the watch looks on Frank?,Cara states that the watch suits Frank.,"Cara looks at Frank and says, 'It suits you.'",character states
53,"3、INT. BRASSERIE, GARE DE L'EST - DAY | 6、INT. ORIENT EXPRESS - AFTERNOON | 7、EXT. MOUNTAINOUS COUNTRYSIDE - SUNSET",What does Cara state about being followed?,Cara does not state anything about being followed; she hears a man's voice saying they are following her.,"A man's voice, speaking in an English accent, says, 'They are following you, Cara,' and adds that if she follows his instructions, they can get away. Without looking up, Cara takes a small makeup mirror from her bag and holds it in front of her face, glancing into it to scan the area behind her.",character states
54,17、INT. TRAIN CAR - SAME | 19、EXT. VENICE TRAIN STATION - MORNING | 37、INT. DOGE'S SUITE - CONTINUOUS,What does Frank express when Cara tells him to leave Venice?,Frank expresses confusion and hurt by asking what he did wrong.,"He asks, 'What... what did I do?' His voice carries confusion and hurt.",character states
55,19、EXT. VENICE TRAIN STATION - MORNING | 37、INT. DOGE'S SUITE - CONTINUOUS | 33、INT. DOGE'S SUITE - NIGHT,Why does Frank hesitate before taking Cara's valise at the train station?,Frank hesitates because he is uncertain about the nature of their interaction and whether he should get involved with Cara's plans.,"Frank hesitates, then takes the valise after Cara holds it out to him, indicating his uncertainty in the moment.",causal/relational queries
56,"49、INT. POLIZIA ""QUESTURA"" (POLICE STATION) - DAY",When did Domenico give Frank his personal phone number?,Domenico gave Frank his personal phone number before they left for the hospital.,"Before they leave, Domenico writes down his personal phone number and gives it to Frank, telling him to call if anything comes up.",temporal references
