scene,question,answer,evidence,qa_type
28、INT. BANQUET HALL - DAY,Why does Thor upend the table?,He is angry and frustrated due to the events of the day.,"Thor stands in the empty hall, bearing the signs of the festivities cancelled due to the events of the day. Anger and frustration rising within him, Thor upends one of the massive tables.",causal/relational queries
28、INT. BANQUET HALL - DAY,Why does Loki admit Thor is right about the Frost Giants?,Because Thor's concerns about their defenses being penetrated are valid.,"LOKI: If it's any consolation, I think you're right. About the Frost Giants, about Laufey, everything. If a few of them could penetrate the defenses of Asgard once, who's to say they won't try again.",causal/relational queries
35、EXT. BIFROST LANDING SITE (JOTUNHEIM) - DAY,What caused Volstagg to declare the belt as his lucky belt?,Thor pulled him back from the cliff using it,VOLSTAGG: This belt! This belt is now my lucky belt! I will never remove it! Even when bathing!,causal/relational queries
41、EXT. BIFROST LANDING SITE (EARTH) - MOMENTS LATER,"In [41、EXT. BIFROST LANDING SITE (EARTH) - MOMENTS LATER], What is Jane's emotional state?",Reluctant,"reluctantly, Jane joins the others",character states
37、EXT. CENTRAL PLAZA - DAY,"In [37、EXT. CENTRAL PLAZA - DAY], Why does Laufey accuse Odin of being a murderer?",Because Odin stole what was theirs and left their world in ruins.,"LAUFEY: Your father is a murderer and a thief. He stole what was ours, and left our world in ruins.",causal/relational queries
37、EXT. CENTRAL PLAZA - DAY,"In [37、EXT. CENTRAL PLAZA - DAY], Why did the Jotuns enter Asgard?",Because Odin stole their belongings and left their world in ruins.,"LAUFEY: Your father is a murderer and a thief. He stole what was ours, and left our world in ruins.",causal/relational queries
29、EXT. ODIN'S PALACE - DAY,Why does Fandral think getting past Heimdall is simple now?,Because Heimdall is allowing Frost Giants to pass.,Fandral's line: 'since he seems to be letting Frost Giants sneak by under his nose.',causal/relational queries
29、EXT. ODIN'S PALACE - DAY,Why is Volstagg terrified after Fandral's comment?,Because he believes Heimdall is letting Frost Giants through.,Fandral's statement about Heimdall letting Frost Giants sneak by.,causal/relational queries
27、INT. VAULT - DAY,"In [27、INT. VAULT - DAY], Why did the Frost Giants attack the Weapons Vault according to Odin?","Because the Casket of Ancient Winters belonged to them, and they believed it was their birthright.",The Casket of Ancient Winters belonged to the Jotuns. They believe it's their birthright.,causal/relational queries
39、INT. HEIMDALL'S OBSERVATORY - DAY,"In [39、INT. HEIMDALL'S OBSERVATORY - DAY], What causes Odin to create the Bifrost portal?",His anger over Thor's disobedience and the resulting war.,The Allfather plunges Gungnir into Observatory's control panel... creating a portal behind Thor.,causal/relational queries
5、INT. SUV,"In [5、INT. SUV], What is Jane's emotional state?",Thrilled and pumped with adrenaline,"Jane grins, thrilled, pumped with adrenaline.",character states
13、EXT. SPACE,What is Yggdrasil described as in the passage?,The Worlds Tree connecting the Nine Realms via glowing energy branches.,"We pull back until we see it -- YGGDRASIL. Immense, sprawling, like a quasar or a nebula twisted into the vague shape of a TREE, its branches of glowing energy stretching out into the black void of space.",terminology/abbreviation/concept
5、INT. SUV,"In [5、INT. SUV], What does Jane question about herself?",If she is crazy,Jane: 'I'm not crazy?',character states
47、EXT./INT. SMITH MOTORS - LAB - MORNING,"In [47、EXT./INT. SMITH MOTORS - LAB - MORNING], What emotion does Selvig display when viewing the monitor?",Pride,He looks proud.,character states
30、EXT. GATE OF ASGARD - DAY,What is the purpose of the Rainbow Bridge?,To connect Odin's palace to Heimdall's Observatory.,"Wide and flat, it runs straight out from Odin's palace to the mists and black void of space beyond. In the distance far ahead, the Bridge continues on until it reaches Heimdall's Observatory.",causal/relational queries
25、INT. VAULT - DAY,What caused the latticework to separate and retract?,The creatures lifting the Casket,"as they do, the intricate latticework behind the Casket starts to separate and retract",causal/relational queries
27、INT. VAULT - DAY,What caused Thor to believe the Jotuns would have destroyed the Nine Realms?,Odin taking the Casket of Ancient Winters from them.,If you hadn't taken it from them they would have laid waste to all the Nine Realms!,causal/relational queries
41、EXT. BIFROST LANDING SITE (EARTH) - MOMENTS LATER,"In [41、EXT. BIFROST LANDING SITE (EARTH) - MOMENTS LATER], What is Thor's physical condition?",Unconscious,unconscious Thor,character states
36、EXT. JOTUNHEIM - DAY,What does Fandral question about their current activity?,Adventuring? Is that what we're doing?,FANDRAL Adventuring? Is that what we're doing?,dialogue/beliefs
36、EXT. JOTUNHEIM - DAY,"In [36、EXT. JOTUNHEIM - DAY], What does Fandral threaten to do if he hears Volstagg sing again?",Fall on my own sword.,"FANDRAL If I have to listen to Volstagg's singing voice one more time, I'll fall on my own sword!",dialogue/beliefs
3、INT. SUV - NIGHT,What causes the anomalies Jane is studying?,Geomagnetic storms,The anomalies are always precipitated by geomagnetic storms.,causal/relational queries
40、EXT. BIFROST LANDING SITE (EARTH) - NIGHT,Why did Thor search the ground after waking up?,To find his hammer,Thor searches the ground. THOR Hammer...,causal/relational queries
13、EXT. SPACE,What does Asgard represent according to the passage?,"The greatest Realm the universe has ever known, home to the proudest warriors.","He came... from Asgard! But for all their thirst for knowledge, they let our lessons fall into myth and dreams. Where did he come from? He came from us, the proudest race of warriors the Worlds have ever seen. He came from this -- the greatest Realm the universe has ever known.",terminology/abbreviation/concept
62、INT. ODIN'S CHAMBERS - DAY,"In [62、INT. ODIN'S CHAMBERS - DAY], Where are Frigga and Loki when they speak about Odin?",In a chamber with warped walls and no daylight,"The walls of the chamber have moved close around him, protecting him like a dark crypt, sealing off any daylight.",scene localization
56、EXT. HOSPITAL PARKING LOT - DAY,"In [56、EXT. HOSPITAL PARKING LOT - DAY], What is Jane's emotional state?",Apologetic and guilty,I'm so sorry. I swear I'm not doing that on purpose,character states
"1、EXT. PUENTE ANTIGUO, NEW MEXICO - NIGHT",What action is the large SUV performing?,Slowly moves down the street and heads out of town.,A large SUV slowly moves down the street and heads out of town.,detailed description
44、INT. COUNTY HOSPITAL ER - NIGHT,"In [44、INT. COUNTY HOSPITAL ER - NIGHT], What is Thor's physical condition?",Unconscious,Selvig watches the unconscious Thor with interest,character states
46、EXT. NEW MEXICO DESERT - DAWN,"In [46、EXT. NEW MEXICO DESERT - DAWN], What is the TOWNIE's emotional state when he first approaches the crater?",Curious.,his curiosity piqued by what he sees,character states
51、INT. COUNTY HOSPITAL ER - DAY,"In [51、INT. COUNTY HOSPITAL ER - DAY], What does Jane claim to be in relation to the patient?",His wife.,But... I'm his wife.,character states
32、INT. HEIMDALL'S OBSERVATORY - DAY,Why does Heimdall insert his sword into the control panel?,To start up the Observatory's apparatus.,"Heimdall inserts his sword into the control panel, and the apparatus of the Observatory starts up.",causal/relational queries
33、EXT. RAINBOW BRIDGE,"In [33、EXT. RAINBOW BRIDGE], What is the result of the Bifrost energy quickening along the Bridge?",It feeds into the Observatory.,"The Bifrost energy quickens along the Bridge, feeding into the Observatory.",causal/relational queries
60、EXT. INSIDE OF CRATER,"In [60、EXT. INSIDE OF CRATER], Where is the mysterious object located?",At the center of the crater,"They watch the center of the crater, where LARGE MEN have formed a line",scene localization
