id,scene,question,answer,evidence,qa_type
26,29、INT. HOTEL ROOM -- BLACKJACK INN -- MORNING | 38、EXT. PARKING LOT -- OFF THE LAKE -- DAY,What does Dupree state about finding Buddy Israel?,Dupree states that they will find Buddy Israel and bring him in without any problem.,"Dupree told him, with quiet certainty, that they would find Buddy Israel and bring him in, no problem.",character states
27,44、INT. NOMAD HOTEL AND CASINO -- SECURITY ROOM -- DAY,What does Acosta tell the security supervisor about his condition after attacking him?,"Acosta tells the supervisor that he is being poisoned, that his lungs will stop working, and that death is coming quickly.","Acosta retrieves the phone from the Supervisor’s pocket as it continues to ring. He tells the Supervisor he is being poisoned, that his lungs will stop working, and that death is coming quickly.",character states
28,29、INT. HOTEL ROOM -- BLACKJACK INN -- MORNING,Why did Rip Reed express concern about the people they might encounter while capturing Buddy Israel?,"Rip Reed expressed concern because Buddy Israel's associates are armed with guns and he often has prostitutes around, which increases the risk and unpredictability of the situation.","Reed warns the group that Israel’s associates are armed, carrying guns. He adds that Israel frequently keeps prostitutes around, so they might encounter women at the location.",causal/relational queries
29,48、INT. NOMAD HOTEL SUITE -- DAY | 47、INT. CAR -- DAY | 49、INT. HORIZON HOTEL AND CASINO -- SAME,Why does Watters position the sniper rifle with the red-tipped bullet loaded?,"Watters positions the sniper rifle with the red-tipped bullet loaded to protect Sykes during the infiltration, as she is ready to use lethal force if anyone threatens her partner.","Watters insists she’ll use the .50 caliber sniper rifle if anyone threatens her partner and loads a red-tipped round into the chamber, aiming it at the penthouse where Sykes will be operating.",causal/relational queries
30,30、INT. PENTHOUSE SUITE -- DAY | 31、INT. PENTHOUSE BEDROOM -- CONTINUOUS | 32、INT. PRIVATE PRACTICE -- DAY,Why does Dr. Gill warn Israel about his health?,"Dr. Gill warns Israel about his health because the cardiology results show severe cardiac distress, and two heart specialists agree that Israel is at immediate risk of a massive coronary due to his cocaine use.","Dr. Gregory Gill rushes down a hallway, medical report in hand, and intercepts Israel. He tells Israel he has serious concerns about cocaine use and the amount Israel is taking... warning that the cardiology results show severe cardiac distress. He says two heart specialists have reviewed the findings and agree that Israel is at immediate risk of a massive coronary.",causal/relational queries
31,47、INT. CAR -- DAY | 49、INT. HORIZON HOTEL AND CASINO -- SAME | 47、INT. CAR -- DAY,Why does Watters position a .50 caliber sniper rifle aimed at the penthouse of The Nomad?,"Watters positions the sniper rifle to protect Sykes during the infiltration, ready to use it if anyone threatens her partner.","Watters insists she’ll use the .50 caliber sniper rifle if anyone threatens her partner, and she positions it on a tripod aimed at the penthouse of The Nomad.",causal/relational queries
32,22、INT. DINER -- NIGHT | 49、INT. HORIZON HOTEL AND CASINO -- SAME,What does Sykes state she will do once she is inside the room during the infiltration?,"Sykes states that once inside the room, she will put her gun to Israel’s head and back out.","She checks her reflection, then states her plan: when the call girls arrive, she’ll meet them in the lobby and move with them up to the room, blending in. Once inside, she intends to put her gun to Israel’s head and back out.",character states
33,39、INT. NOMAD HOTEL AND CASINO -- LOBBY -- MORNING | 49、INT. HORIZON HOTEL AND CASINO -- SAME,What does Watters state about the sheets during the hotel check-in?,Watters states that they will need clean sheets if they sweat the bed up.,"Watters leans in, laughing, and says they’ll need clean sheets if they sweat the bed up.",character states
34,42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,What does Israel state he will do after drawing the Joker card?,Israel states that he agrees to the deal by saying 'Alright...do it.',"After flipping over the Joker card, Israel stares at it, then speaks and says, 'Alright...do it.'",character states
35,"49、INT. HORIZON HOTEL AND CASINO -- SAME | 47、INT. CAR -- DAY | 43、EXT. TAHOE SKILLET"" RESTAURANT -- MORNING",What happens after Watters confirms the building is clear except for a federal inspector?,"Watters holds up a red-tipped bullet, positions a .50 caliber sniper rifle on a tripod aimed at the penthouse, and loads a red-tipped round into the chamber after cycling the bolt.","Watters holds up a red-tipped bullet, saying she’s ready to use it. She positions a .50 caliber sniper rifle on a tripod, the barrel extending just past the window, aimed at the penthouse of The Nomad. ... Watters flicks the rifle’s trigger idly, then loads a red-tipped round into the chamber. With a sharp motion, she cycles the bolt.",temporal references
36,40、INT. NOMAD HOTEL ROOM -- LOWER FLOOR | 41、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING | 42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,Why does Lazlo Soot alter his voice and consume substances like alcohol and cigarettes?,"Lazlo Soot alters his voice and consumes substances to accurately mimic the butler Vitoli's voice, which bears signs of smoke and alcohol damage, so he can convincingly impersonate him when answering the phone.","He studies the rough Baltic accent, the throaty warble, the signs of smoke and alcohol, the damage in the man’s trachea. He grimaces, grabs a pack of cigarettes, lights three at once, and inhales deeply, fills his lungs like bellows. He sprays an aerosol into the back of his throat, then uncaps two bottles of Jack Daniel’s, drinks them both in quick succession, gagging, sputtering, recovering. He tries the line again, adjusting his voice, shaping it, testing it.",causal/relational queries
37,39、INT. NOMAD HOTEL AND CASINO -- LOBBY -- MORNING | 49、INT. HORIZON HOTEL AND CASINO -- SAME,What does Watters state about the treatment of women after seeing Israel's Hookers leave the hotel?,"Watters states that women are reduced to sex objects and that this is the reason people don't take women seriously, calling for unity among all women regardless of race.","She rants about women being reduced to sex objects and calls for unity among all women, regardless of race.",character states
38,41、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING | 42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,What does Israel state he will do after drawing the Joker card?,Israel states that he agrees to the deal by saying 'Alright...do it.',"After drawing the Joker card, Israel stares at it, then speaks, saying 'Alright...do it.'",character states
