scene,question,answer,evidence,qa_type
"19、EXT OUTSIDE THE BLACK SABBATH CLUBHOUSE, MOMENTS LATER","In [19、EXT OUTSIDE THE BLACK SABBATH CLUBHOUSE, MOMENTS LATER], What is Chev's emotional state as he flees the building?",Laughing maniacally,LAUGHING MANIACALLY,character states
"34、INT LAS VEGAS INTERNATIONAL AIRPORT, SAME TIME",Why does Doc Miles advise increasing ephedrine?,To force out the inhibitors,Your only shot is to massively increase the level of ephedrine in your body ... to force out the inhibitors ...,causal/relational queries
23、INT. FOX HILLS MALL - DAY,"In [23、INT. FOX HILLS MALL - DAY], What is CHEV's physical condition?","Exerting himself, on cocaine, and experiencing distress.","huffing it, veins start to rust, a couple grams of coke",character states
"24、INT CLOTHING STORE, CONTINUOUS","In [24、INT CLOTHING STORE, CONTINUOUS], What is the man's behavioral state during the escape?","Bolting, running, and attempting to find an exit",He bolts to the back... RUNS THEM BOTH OVER... heads to the exit,character states
"43、INT VERONA'S CRIB, SAME TIME",What does Hev say about the 'shit' he received?,He says he likes it and asks for more.,"You know, man, I kind of like that shit you put in me. Think you can get me some more?",dialogue/beliefs
"51、INT HOSPITAL ROOM, MOMENTS LATER",What does CHEV believe about the OLD MAN's state?,CHEV can't tell if he's asleep or awake,CHEV can't tell if he's asleep or awake,dialogue/beliefs
27、EXT. CITY STREET - DAY,"In [27、EXT. CITY STREET - DAY], What behavioral action does CHEV exhibit when the music plays?",He starts to embarrassingly bang his head.,CHEV starts to embarrassingly bang his head to the Billy Ray...,character states
"21、EXT LAS VEGAS AIRPORT, SIMULTANEOUS","In [21、EXT LAS VEGAS AIRPORT, SIMULTANEOUS], What does Chev say about his current physical state?",Feeling pretty good despite the poisoning,Actually I'm feeling pretty good right now.,character states
"28、EXT 7-11 STREET, SECONDS LATER","In [28、EXT 7-11 STREET, SECONDS LATER], What is CHEV's behavioral state when entering the 7-11?",Pulling his gun from his pants,We see him pull his gun from his pants as he enters.,character states
"63、EXT ROAD, MONTAGE, 30 SECONDS LATER",What happens to CHEV after he crashes into the restaurant?,"He flips through the air, lands in overturned tables, and a table spins like a coin at his feet.",CHEV flips through the air and lands in a cacophony of overturned tables and busted dishes. A table spins like a coin at his feet,detailed description
"54、INT EMERGENCY ROOM, MOMENTS LATER",What does CHEV demand from the RESIDENT?,He demands epinephrine from the cart.,You've got epinephrine on this cart! I want that shit!,dialogue/beliefs
"35、INT CAB, SAME TIME",Why does Chev tell Kaylo to meet him at 3rd and Flower?,Because Kaylo informed him that Verona's brother entered Charlie O's.,KAYLO (O.S.) 'I just saw Verona's brother going into Charlie O's.' CHEV (O.S.) 'I'm there. Meet me on 3rd and Flower.',causal/relational queries
"38、INT CHARLIE O'S, SAME TIME",Why did the maître d' have the phone ready to dial the cops?,Chev's erratic entrance caused nervousness.,"CHEV... enters the restaurant. Everyone turns to look at the crazy man, nervously. ... MAIRTRE'D has the phone in his hands, ready to dial the cops.",causal/relational queries
"22、INT. FOX HILLS MALL, CONTINUOUS",What does Doc Miles say about stopping?,"If you stop, you die.","DOC MILES (CONT'D) Meaning: if you stop, you die. CHEV What's that? DOC MILES If you stop, you die.",dialogue/beliefs
"55、INT ELEVATOR, GOING DOWN, MOMENTS LATER",What question does CHEV ask after taking the drug?,How much of this stuff did he say to take?,CHEV How much of this stuff did he say to take?,dialogue/beliefs
"49、INT HOSPITAL PHARMACY, MOMENTS LATER",Why did CHEV purchase the nasal spray?,"Because it contains epinephrine, as suggested by the teenager",TEENAGER... 'It's got epinephrine in it... CHEV picks up a handful of the little spray bottles,causal/relational queries
"21、EXT LAS VEGAS AIRPORT, SIMULTANEOUS","In [21、EXT LAS VEGAS AIRPORT, SIMULTANEOUS], What is Chev's physical condition according to his own statement?",Been poisoned with a Chinese synthetic substance,I've been poisoned with some kind of Chinese synthetic shit.,character states
