scene,question,answer,evidence,qa_type
17、INT. SLEEP CHAMBER/CONTROL DESK,"In [17、INT. SLEEP CHAMBER/CONTROL DESK], What is Bower's physical condition?",Panicked and unable to breathe,Bower is heard on the radio starting to FREAK OUT. I can't... breath!,character states
28、INT. STORAGE COMPARTMENT/CORRIDOR -- MOMENTS LATER,How does Bower force the door open after the panel is busted?,Bower jabs a pipe into the gap to force the door open.,"A panel is BUSTED open and BOWER jabs a pipe into the gap, forcing the door open.",detailed description
59、INT. PROCESSING DOCK -CONT.,"In [59、INT. PROCESSING DOCK -CONT.], What is Bower's emotional state when he discovers the human finger bone?",Horrified,BOWER (CONT'D) (HORRIFIED) My God! Wait- Where are we going!?,character states
50、INT. SLEEP CHAMBER/CONTROL DESK - LATER,"In [50、INT. SLEEP CHAMBER/CONTROL DESK - LATER], What is Payton's emotional state when he collapses?",Exhausted and frustrated,He collapses with exhaustion and frustration,character states
37、INT. CORRIDOR - CONT.,"In [37、INT. CORRIDOR - CONT.], What is Bower's behavioral state as he examines the corridors?",Pondering,"looks down the endless stretch of corridors, pondering",character states
43、INT. SLEEP CHAMBER/CONTROL DESK,When do the sounds return?,After Payton grabs the hand-crank lever but before he turns his light,"He grabs the hand-crank lever, but pauses to hear the sounds are returning",temporal references
49、INT. CORRIDOR,"In [49、INT. CORRIDOR], What is Bower's physical condition?",Bower is bleeding and his grip is weakening,"BOWER'S face fills with blood as he hangs upside down, trying to catch his breath. His grip is weakening",character states
30、INT. SLEEP CHAMBER/CONTROL DESK - LATER,What does Payton repeatedly ask Bower during the radio transmission?,"Bower? You there? Com'on, man. You there?","PAYTON: Bower? You there? (CLICK) Com'on, man. You there? (CLICK)",dialogue/beliefs
18、INT. VENTILATION SHAFT,"In [18、INT. VENTILATION SHAFT], What is Bower's emotional state when he lowers his head?",Exhaustion and a chuckle,BOWER lowers his head with exhaustion and a chuckle.,character states
32、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,What does PAYTON question about the security measures?,Why haven't they thrown the security hammer into lock down?,If they're in there... why haven't they thrown the security hammer into lock down? Seal and freeze it until the emergency units wake?,dialogue/beliefs
32、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,What does PAYTON state about their transport?,"We are the cargo, not just collecting data or hauling cargo.",This is no regular transport. We're not out collecting data off the belt or hauling cargo... we are the cargo.,dialogue/beliefs
10、INT. STORAGE LOCKER ROOM - MOMENTS LATER,Why does Payton give Bower the envelope opener?,To open mail quickly in case of urgency,PAYTON: 'Just in case... there's mail you need to open quickly.',causal/relational queries
35、INT. OFFICERS QUARTERS,What does Bower express urgency about finding?,He expresses urgency about finding 'her' before others do.,BOWER: I've got to find her... before those fucking animals do!,dialogue/beliefs
16、INT. VENTILATION SHAFT - LATER,"In [16、INT. VENTILATION SHAFT - LATER], What is Bower's emotional state during his struggle?",Desperate and anxious,"eyes nearing desperation, anxiety increasing with his heavy breathing",character states
16、INT. VENTILATION SHAFT - LATER,"In [16、INT. VENTILATION SHAFT - LATER], What physical condition is Bower in while crawling?",Soaked with sweat and struggling to breathe,"soaked with sweat, heavy breathing, can't breath",character states
47、INT. CORRIDOR - CONT.,When does the transmitter explode?,After falling into the elevator shaft,his transmitter falls all the way to the bottom exploding on IMPACT,temporal references
31、INT. MESS HALL - LATER,What command does Nadia shout at Bower after he tries to speak?,Don't you move MOTHER FUCKER!,"NADIA
Don't you move MOTHER FUCKER!",dialogue/beliefs
35、INT. OFFICERS QUARTERS,What does Bower believe is necessary before searching for others?,He believes they must take control of the ship's systems first.,PAYTON: Our job is to obtain control of this ship... finding them would be easy.,dialogue/beliefs
36、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,What does Payton suggest as a plan?,He suggests breaching the command bridge.,We'll figure out a way to breach the command bridge.,dialogue/beliefs
3、EXT. OUTER SPACE,"In [3、EXT. OUTER SPACE], Where is the man asleep when he wakes up?",In a coffin-size chamber with a glass porthole,"Inside a coffin-size chamber, a dim glow of light seeps through a small glass porthole.",scene localization
46、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,"In [46、INT. SLEEP CHAMBER/CONTROL DESK - CONT.], What is Payton's behavioral state?",Gripping the radio and shouting for Bower,"PAYTON jumps to his feet, eyes darting across the flickering monitors, gripping the radio. PAYTON Bower!? Bower!? Answer me God Dammit!",character states
26、INT. STORAGE COMPARTMENT - CONT.,What action does Payton perform in the sleep chamber?,Adjusts the frequency with concern,PAYTON adjusts the frequency with concern.,detailed description
24、INT. STORAGE BIN,What action does Bower take to see his surroundings inside the bin?,Snaps a glow stick to life,BOWER snaps a GLOW STICK to life to see himself inside a small box-shaped bin,detailed description
61、INT. SLEEP CHAMBER - CONT.,"In [61、INT. SLEEP CHAMBER - CONT.], What is Bower's emotional state during the encounter?",terrified,BOWER and NADIA... dripping sweat with terror,character states
37、INT. CORRIDOR - CONT.,"In [37、INT. CORRIDOR - CONT.], What emotional state is Bower experiencing when he responds to Payton's question?",Uncertainty,MASKING UNCERTAINTY,character states
36、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,What does Bower refuse to do?,Bower refuses to return to Payton.,I'm not coming back to you.,dialogue/beliefs
"2、EXT. SHIP ""EDEN"" - CONT.","In [2、EXT. SHIP ""EDEN"" - CONT.], What is the officer's state inside the sleep pod?",Trapped and screaming in silence,trapped OFFICER is seen SCREAMING in silence,character states
54、INT. BIO-LAB VAULT DOOR ENTRANCE - LATER,"In [54、INT. BIO-LAB VAULT DOOR ENTRANCE - LATER], What is Bower's emotional state when he exclaims 'SHIT-'?",He is frightened and anxious.,BOWER SHIT- and grabs TANAKA's shoulder.,character states
27、INT. STORAGE COMPARTMENT - CONT.,Why did Bower search for a solution after flipping the switch?,Because nothing happened when he flipped the switch.,He flips the switch and nothing. His eyes quickly search for a solution.,causal/relational queries
63、INT. SLEEP CHAMBER/CONTROL DESK - LATER,What does the tattoo FLT>>004>>012 indicate about Gallo?,"It identifies him as part of Team Four, Flight 012.","PAYTON notices GALLO'S identification tattoo, reading; FLT>>004>>012.",terminology/abbreviation/concept
15、INT. SLEEP CHAMBER/CONTROL DESK,"In [15、INT. SLEEP CHAMBER/CONTROL DESK], Where does Payton hear the distant THUMPS?",In the room he is trapped in,Distant THUMPS snap him from his trance. He is trapped within the room alone.,scene localization
24、INT. STORAGE BIN,How does Bower exit the boot locker?,Shoves outward to snap the door open,"He shoves outward and the door SNAPS open. He falls out, flips through the air and SLAMS to the floor",detailed description
39、INT. CORRIDOR INTERSECTION - LATER,"In [39、INT. CORRIDOR INTERSECTION - LATER], What is Bower's physical condition?",Gasping for breath and struggling to breathe,checking the marker and gasping for breath... struggling for breath,character states
"34、INT. SLEEP CHAMBER/CONTROL, DESK",What does Bower say over the radio?,They're here. Somewhere on board.,BOWER (ON RADIO) They're here. Somewhere on board.,dialogue/beliefs
4、INT. SLEEP CHAMBER COMPARTMENT - CONT.,Why does Bower suck on the tube?,To drink the liquid from the feeding tube.,"He grabs the dangling tubes that were ripped from his arm and he sucks on the tube, pulling as much liquid into his mouth as possible.",causal/relational queries
41、INT. SLEEP CH.A.MBER/CONTROL DESK,When does Payton's memory of the Eden return?,When Bower mentions 'The Eden' on the radio,"BOWER (ON RADIO) The Eden. PAYTON nods, memories returning as he mumbles the name.",temporal references
11、INT. VENTILATION SHAFT - MOMENTS LATER,How does BOWER move forward through the space?,"Pushes himself forward on his stomach, several inches at a time","BOWER... begins to crawl, pushing himself forward on his stomach, only several inches at a time",detailed description
26、INT. STORAGE COMPARTMENT - CONT.,What does Bower do after getting to his feet?,Checks the transmitter crackling with static,"He checks the transmitter, crackling with static.",detailed description
19、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,When does the shudder approach PAYTON?,During the close-up of him rubbing the emblem,as a SHUDDER approaches...,temporal references
45、INT. FILTRATION COMPARTMENT - MOMENTS LATER,"In [45、INT. FILTRATION COMPARTMENT - MOMENTS LATER], What is SHEPARD's emotional state when he waves BOWER away?",Angry,SHEPARD angrily waves him away.,character states
