scene,question,answer,evidence,qa_type
33、EXT. SERVICE STATION - DAY,"In [33、EXT. SERVICE STATION - DAY], What is a HARVESTER?","A giant insect-like terminator with multiple arms, legs, and camera eyes.",A HARVESTER-- a GIANT INSECT-LIKE TERMINATOR-- is outside the station.,terminology/abbreviation/concept
32、INT. SERVICE STATION - DAWN,"What do PIG, BULL, and COW refer to?",The three animal-like cannibals,"three animal-like CANNIBALS emerge... We'll call them PIG, BULL and COW",terminology/abbreviation/concept
33、EXT. SERVICE STATION - DAY,What is a TRANSPORT?,A container resembling a semi-trailer or wheeled dumpster with movable engine pods and a mysterious armature.,"A TRANSPORT. This consists of CONTAINER resembling a semi-trailer or wheeled dumpster, attached within a FRAMEWORK that features movable ENGINE PODS and a mysterious ARMATURE at the front.",terminology/abbreviation/concept
41、EXT. LOADING ZONE - NIGHT,What happens after the TRANSPORT lands?,The FLYING FRAMEWORK and ARMATURE detach and take off.,"The TRANSPORT has landed amongst numerous CONTAINERS... THE FLYING FRAMEWORK and ARMATURE detach from the TRANSPORT, and TAKE OFF into the air again-- leaving the trailer-like wheeled CONTAINER.",temporal references
8、INT. UNDERGROUND FACILITY/ROBOTIC ROOM - NIGHT,What occurs to the machinery after the soldiers fire?,"Machinery collapses, sparks from exploding circuitry.","THE SOLDIERS rake the room with GUNFIRE-- MACHINERY collapses, SPARKS from EXPLODING CIRCUITRY",detailed description
16、EXT. CORNFIELD - DAY,"In [16、EXT. CORNFIELD - DAY], Who is the naked figure covered in mud?",Marcus Wright,it's MARCUS WRIGHT,character states
54、INT. OUTPOST/COMMUNICATIONS AREA - DAY,"In [54、INT. OUTPOST/COMMUNICATIONS AREA - DAY], What is Marcus's state of mind after hearing Connor's explanation?",Very confused,MARCUS (very confused) What?,character states
42、INT. TRANSPORT - NIGHT,When is the bar code seared onto Kyle's arm?,After the aerostats latch onto him and cause pain,KYLE looks grimly down at-- a fresh BAR CODE seared into his arm.,temporal references
42、INT. TRANSPORT - NIGHT,When does STAR receive treatment from an aerostat?,After Kyle is attacked by an aerostat,STAR gets the same treatment from a different AEROSTAT.,temporal references
29、EXT. MOTEL - NIGHT,What is a Harvester?,A dangerous entity STAR fears will be called by the Aerostat.,"STAR: 'It's gonna call a Harvester, we're dead--'",terminology/abbreviation/concept
24、EXT. REST STOP - DAY,What does the aerostat look like as it patrols the area?,"A surveillance drone the size of a softball, shiny steel, with a red-glowing camera lens.","ONE AEROSTAT patrols the area. It's a surveillance drone the size of a softball, shiny steel, an inset camera lens with a RED GLOW.",detailed description
52、INT. OUTPOST/COMMUNICATIONS AREA - DAY,"In [52、INT. OUTPOST/COMMUNICATIONS AREA - DAY], What is Marcus's emotional state?",Impatient,MARCUS sits impatiently in a wooden chair,character states
37、EXT. TREES - EVENING,What does Blair say about the river's hazards?,Hydrobots with killer sonar and heavy radiation.,BLAIR (cont'd) ...river's fulla hydrobots... heavy rads all the way to the Gulf coast...,dialogue/beliefs
10、INT. UNDERGROUND FACILITY/STORAGE ROOM - NIGHT,"In [10、INT. UNDERGROUND FACILITY/STORAGE ROOM - NIGHT], What is the soldiers' state as they enter the room?",Alert and cautious,"SOLDIERS make their way in, alert-- but nothing's moving in here",character states
4、EXT. CORNFIELD - DUSK,What is the visual description of the cornstalks?,"CORNSTALKS as far as the eye can see, rustling in a summer breeze","CORNSTALKS as far as the eye can see, rustling in a summer breeze",detailed description
21、EXT. DEAD CITY - DAY,"In [21、EXT. DEAD CITY - DAY], Where does Marcus pause while moving through the dead city?",Dead city's outskirts near a collapsed bus kiosk,dead city's outskirts. He pauses near a collapsed BUS KIOSK,scene localization
1、INT. DEATH ROW/CELL - DAWN,What does Marcus say about being chosen for the research?,"He says, 'Chosen? Lucky me.'",MARCUS: 'Chosen? Lucky me.',dialogue/beliefs
29、EXT. MOTEL - NIGHT,"In [29、EXT. MOTEL - NIGHT], What is a lug wrench?",An X-shaped tool Marcus uses to destroy the Aerostat.,MARCUS picks up an X-shaped LUG WRENCH from behind his seat,terminology/abbreviation/concept
