id,scene,question,answer,evidence,qa_type
14,41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,"In [41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK], What does AURA warn FLASH about regarding ZARKOV?","You can't reach him. If a soldier spots you, it's instant death.","AURA: You can't reach him. If a soldier spots you, it's instant death! -- Come!",dialogue/beliefs
15,20、INT. CAPSULE,"In [20、INT. CAPSULE], What is ZARKOV's physical condition during the capsule's rotation?","Drained white and distorted by G-Force, losing consciousness.","ZARKOV plastered against another part of the whirling capsule, his face drained white and distorted by the terrific G-Force... ZARKOV'S eyes close. He loses consciousness.",character states
16,20、INT. CAPSULE,"In [20、INT. CAPSULE], What is ZARKOV's role in the narrative?",He built the capsule to send a message to 'them' in Friendship.,Friendship...Built this to send to them in...Friendship...The end now...End of the world....Unless we...,character states
17,30、EXT. GRASSY AREA - DAY,"In [30、EXT. GRASSY AREA - DAY], What is the Leader's role in the scene?","The Leader captures Flash and others, taking them to Ming.","LEADER You are prisoners. I will take you now to Ming the Merciless, Ruler of the universe!",character states
18,27、INT. CAPSULE - SHOOTING FROM WITHIN,"In [27、INT. CAPSULE - SHOOTING FROM WITHIN], What is ZARKOV's emotional state when he realizes their destination?",Horror,with horror SEES where they are headed,character states
19,45、INT. MING'S DOME,"In [45、INT. MING'S DOME], When will Earth be reborn according to MING?",Long after you have died.,"And as it will be in yet another time, long after you have died.",temporal references
20,29、INT. CAPSULE,"In [29、INT. CAPSULE], What is Zarkov's emotional state after landing?",Excited but uncertain about their location.,"ZARKOV: 'By God, we did it! We made it!' I don't know.",character states
21,34、INT. PALACE - FIGHT SEQUENCE,"In [34、INT. PALACE - FIGHT SEQUENCE], What emotional state does DALE exhibit when she shouts for FLASH?",Desperate,The pitiful shout sends FLASH'S adrenaline rushing.,character states
22,34、INT. PALACE - FIGHT SEQUENCE,"In [34、INT. PALACE - FIGHT SEQUENCE], What emotional state does FLASH display when he sees DALE being taken?",Despairing,"He looks up, with despairing eyes.",character states
23,33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,"In [33、INT. PALACE OF HALLS - SERIES OF DISSOLVES], What is the ARMORED MAN's response to MING's loyalty question?",States loyalty and commits suicide,ARMORED MAN: 'Gladly!' ... PLUNGES FORWARD on to the fatal point.,character states
24,15、INT. GREENHOUSE - DAY,What action does Zarkov take with his revolver?,Lifts his revolver and draws a bead on the man's back,ZARKOV lifts his revolver and draws a bead on the man's back.,detailed description
25,27、INT. CAPSULE - SHOOTING FROM WITHIN,"In [27、INT. CAPSULE - SHOOTING FROM WITHIN], What is the physical condition of the three voyagers?","Crumpled on the floor, semi-conscious",The three voyagers are crumpled on the floor... semi-conscious,character states
26,12、INT. COCKPIT - CONTINUOUS,What does Flash say about his ability to land the plane?,I can fly but can't land.,FLASH: I can fly all right -- I've had a couple of lessons! -- just don't if I can land!,dialogue/beliefs
27,52、INT. COCKPIT,What does FLASH say about their mission?,"That's right, Princess and we're not pulling out until you put that gadget over my head and tune me in to Dale Arden!","FLASH: That's right, Princess and we're not pulling out until you put that gadget over my head and tune me in to Dale Arden!",dialogue/beliefs
28,38、INT. UNDERWATER (TANK),When does FLASH encounter AURA after recovering balance?,After he confronts the Luminous Fish and wheels away,"Recovering balance in a universe of bubbles, FLASH finds himself confronting an enormous savage LUMINOUS FISH. Wheeling himself away... FLASH encounters AURA.",temporal references
29,45、INT. MING'S DOME,When will Earth be shown as it will be?,When MING's plasma reaches full force.,"Now as it will be, when my plasma reaches full force....",temporal references
30,51、EXT. SHOOTING THROUGH BUBBLE TO EXT.,"In [51、EXT. SHOOTING THROUGH BUBBLE TO EXT.], Where is the scene set?",The windblown surface of the moon Ardentia,Showing the windblown surface of the moon ARDENTIA dead ahead.,scene localization
31,48、EXT. SPACE - A MOON OF ICE,"In [48、EXT. SPACE - A MOON OF ICE], Where is the spacecraft located during the curving pass?",Over the surface of a frozen sphere,Coming into SHOT in a curving pass over the surface,scene localization
32,50、INT. COCKPIT - ANOTHER SHOT,What does Aura say about the Sand Men?,They live on the moon and are part of Ming's rule.,Of course - the Sand Men. Every Moon is a kingdom -- separate and hostile to all the others. They have nothing in common but Ming's rule -- and their hatred of him.,dialogue/beliefs
33,40、INT. UNDERGROUND CORRIDOR,How long will the Lizardman Slaves suffer?,Forever,They will suffer for it here forever.,temporal references
34,50、INT. COCKPIT - ANOTHER SHOT,What does Aura believe about Prince Barin?,He does anything she asks because he loves her.,Because he does anything I ask. He loves me.,dialogue/beliefs
35,33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,"In [33、INT. PALACE OF HALLS - SERIES OF DISSOLVES], How does DALE react to the ARMORED MAN's death?",Shrinks back in horror,"With a little cry of horror, DALE shrinks back into FLASH'S arms.",character states
36,58、EXT. ARBORIA - DAY,"In [58、EXT. ARBORIA - DAY], Where is the shuttle craft approaching from?",Amidst a green tangle of branches and leaves and vines,Green tangle of branches and leaves and vines,scene localization
37,7、INT. PLANE - DAY,What condition are FLASH and DALE's faces in?,faces bathed in the eerie light,faces bathed in the eerie light,detailed description
38,38、INT. UNDERWATER (TANK),When does AURA lead FLASH out of sight?,After they swim through the stalagmites,"Swims after her through a maze of stalagmites... AURA dives down, leads him OUT OF SIGHT through a low opening.",temporal references
39,27、INT. CAPSULE - SHOOTING FROM WITHIN | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES | 45、INT. MING'S DOME,What does Zarkov state about Earth upon hearing Klytus's claim that it is being destroyed?,"Zarkov states that if Earth is still in the process of being obliterated, then it still exists.","Upon hearing this, Zarkov seizes on the words and exclaims that if Earth is still in the process of being obliterated, then it still exists.",character states
40,26、EXT. CAPSULE IN FLIGHT | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES | 45、INT. MING'S DOME,What does Zarkov state upon hearing Klytus's claim about Earth?,"Zarkov states that if Earth is still in the process of being obliterated, then it still exists.","Upon hearing this, Zarkov seizes on the words and exclaims that if Earth is still in the process of being obliterated, then it still exists.",character states
41,26、EXT. CAPSULE IN FLIGHT | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES | 45、INT. MING'S DOME,Why does Ming order the survivors to be observed instead of immediately carrying out Klytus's suggestion to drown them in the Sea of Fire?,"Ming orders the survivors to be observed first because he wants to assess them before deciding on their fate, indicating a strategic approach to handling potential threats or uses for the captives.","Klytus speaks, suggesting the survivors be drowned in the Sea of Fire. Ming responds, dismissing the idea for now, and orders that the survivors be observed first.",causal/relational queries
42,39、INT. UNDERGROUND GROTTO | 41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK | 44、INT. UPPER PALACE AREA - CORRIDOR,What does Flash state about his ability to lie?,Flash states that he is not good at lying and speaks plainly without offering deception.,"FLASH replies that he is not good at lying, and admits he speaks plainly, offering no deception in return.",character states
43,18、INT. GREENHOUSE - DAY | 30、EXT. GRASSY AREA - DAY | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,What does Flash state about his identity when questioned by Ming?,Flash states that he is Flash Gordon of the New York Giants.,"Flash replies that he is Flash Gordon of the New York Giants, introduces Dale Arden, and says they were brought here by Dr. Zarkov, who sought to save Earth.",character states
44,27、INT. CAPSULE - SHOOTING FROM WITHIN | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,What does Zarkov state about Earth after hearing Klytus's claim?,"Zarkov states that if Earth is still being destroyed, then it still exists.","Upon hearing this, Zarkov seizes on the words and exclaims that if Earth is still in the process of being obliterated, then it still exists.",character states
45,34、INT. PALACE - FIGHT SEQUENCE | 35、INT. PALACE - ON THE STAIRCASE,What happens immediately after Flash falls through the opening step?,Aura rushes into view and leaps after him before the trapdoor snaps shut.,"As Flash falls through the opening step, Aura sprints into view and leaps after him without hesitation. The trap door snaps shut moments after she passes through.",temporal references
46,12、INT. COCKPIT - CONTINUOUS | 17、INT. COCKPIT - DAY | 18、INT. GREENHOUSE - DAY,What does Flash state about how Dale should respond to Dr. Zarkov while they are climbing the tower?,Flash states that Dale should go along with Dr. Zarkov for now and wait for a chance to act.,"As they run, Flash leans toward Dale and whispers for her to go along with Zarkov for now and wait for a chance to act.",character states
47,12、INT. COCKPIT - CONTINUOUS | 17、INT. COCKPIT - DAY | 39、INT. UNDERGROUND GROTTO | 44、INT. UPPER PALACE AREA - CORRIDOR,What does Aura state about Flash's attire when they reach the rocket bay?,"Aura states that Flash is dressed as a Royal Pilot, First Class.","Aura tells him he is dressed as a Royal Pilot, First Class.",character states
48,27、INT. CAPSULE - SHOOTING FROM WITHIN | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES | 45、INT. MING'S DOME,What does Zarkov state about Earth upon hearing Klytus's claim that it is being destroyed?,"Zarkov states that if Earth is still in the process of being obliterated, then it still exists.","Upon hearing this, Zarkov seizes on the words and exclaims that if Earth is still in the process of being obliterated, then it still exists.",character states
49,45、INT. MING'S DOME,What does Ming state about Zarkov's fate after the hologram is deactivated?,Ming states that Zarkov is to be returned to the dungeon.,"After Zarkov collapses from his failed attempt to pull a sword from the crystal block, Ming laughs and gestures to a soldier. The soldier steps forward as Ming gives an order, and Zarkov is taken away, returning to the dungeon.",character states
50,20、INT. CAPSULE | 33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,What does Zarkov state about the purpose of the capsule and the fate of the world?,Zarkov states that the capsule was built out of friendship to send a message and that the world will end unless they stop it.,Zarkov speaks in broken words: 'Friendship... Built this to send to them in... Friendship... The end now... End of the world... Unless we...',character states
51,11、INT. PASSENGER CABIN - CONTINUOUS | 17、INT. COCKPIT - DAY | 35、INT. PALACE - ON THE STAIRCASE | 34、INT. PALACE - FIGHT SEQUENCE,What happens immediately after Flash unfastens his seatbelt when the cockpit door flies open?,Flash jumps to his feet and sprints forward toward the cockpit.,"Flash immediately unfastens his seatbelt, jumps to his feet, and sprints forward toward the cockpit.",temporal references
52,17、INT. COCKPIT - DAY | 39、INT. UNDERGROUND GROTTO | 41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,What does Flash state about his priority after being rescued by Aura?,Flash states that his priority is to find and rescue Dale and Zarkov and do what he can to save Earth.,"FLASH thanks her for saving his life, but insists his priority is to find Dale and Zarkov, rescue them, and do what he can to save Earth.",character states
53,34、INT. PALACE - FIGHT SEQUENCE | 35、INT. PALACE - ON THE STAIRCASE | 39、INT. UNDERGROUND GROTTO | 41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,Why does Flash break free from the Amazons and run toward the stairs?,"Flash breaks free and runs toward the stairs because he hears Dale's cry calling his name, which prompts him to surge upward and rush to her.","At the sound of Dale's cry—'Flash!'—Flash surges upward, breaking free from his captors, and sprints toward the stairs.",causal/relational queries
