scene,question,answer,evidence,qa_type
56、INT. PAULY'S BEDROOM - DAY PAULY? DARXMAN/PAULY?,Why does Durant tuck the tickets into Pauly's jacket?,To ensure he doesn't miss his flight.,"Well, Pauly, I wouldn't want you to miss your flight.",causal/relational queries
9、EXT. HUNT CLUB LOBBY - DAY,What is the significance of the hundred dollar bill?,It reveals the steward's undisclosed payment,Strack Jr. unfurls the steward's fingers to reveal a hundred dollar bill,terminology/abbreviation/concept
6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], What is Yakitito's emotional state during the experiment?",Sad and frustrated,YAKITITO says 'SADLY' and repeatedly punches the wall while expressing despair,character states
62、INT. A BEDROOM,Why does Julie scream after the transformation?,Because she sees The Darkman's scarred face,his horrible scarred face pressed against Julie's. then lets out an EAR-PIERCING SCREAM.,causal/relational queries
9、EXT. HUNT CLUB LOBBY - DAY,What does 'labels' refer to in Strack Jr.'s accusation?,A deceptive action involving price tags or identifiers,Strack Jr. mentions 'that little trick with the labels',terminology/abbreviation/concept
43、INT WESTLAKE LAB/APARTMENT - DAY,What does Peyton ask Julie in the aftermath of the fire?,He questions if she still loves him despite his disfigured state.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",dialogue/beliefs
35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger say about the body?,"He didn't find the guy's body, just an ear.","Never found the guy's body, just an ear.",dialogue/beliefs
55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why does Guzman hesitate to slide the briefcase?,Because he suspects Darkman/Pauly.,He eyes Darkman/Pauly suspiciously.,causal/relational queries
38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton say when he reaches for Julie?,Juuuuulieeeeee. Heeeeeeeelp meeeeeee...,"DARK FIGURE/PEYTON
Juuuuulieeeeee. Heeeeeeeelp meeeeeee...",dialogue/beliefs
41、EXT. ALLEY - WIND FANS - NIGHT,What does the newspaper's headline state about the scientist?,Scientist dies in accidental blast. Body still missing.,SCIENTIST DIES IN ACCIDENTAL BLAST/Body still missing.,dialogue/beliefs
36、EXT. GRAVEYARD - LONG-SHOT - DAY,What does the Resident say about the Rangeveritz technique?,He explains it involves severing the spino-thalamic nerve to stop pain impulses.,"RESIDENT Here we have a 25-30 year-old-male... we use the Rangeveritz technique; quite simply, we sever his spino-thalamic nerve...",dialogue/beliefs
12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is the DRIVER's behavioral state?",Apologetic and submissive.,"We have a flat, sir. I'm sorry.",character states
44、INT. WOMAN'S POWDER ROOM,What does Julie say in response to the businessman's question about drowning her sorrows?,Just giving them something to swim around in.,"BUSINESSMAN
Drowning your sorrows, eh?
JULIE
Just giving them something to swim
around in.",dialogue/beliefs
44、INT. WOMAN'S POWDER ROOM,What does Julie state about the Belasarius Memorandum?,The decision's been made for both of us. The papers were destroyed in the fire.,"JULIE
The decision's been made for both of
us. The papers were destroyed in the
fire.",dialogue/beliefs
38、EXT. ALLEY ENTRANCE/EMPTY STREET - DUSK,What does Peyton whisper as he tries to convince Julie it's him?,It's meeeeeee.,"PEYTON
(ALMOST INTELLIGIBLE RASP)
It's meeeeeee.",dialogue/beliefs
3、INT PIER BUILDING -- NIGHT,How does Durant demonstrate his control over Black during the confrontation?,He uses a cigar trimmer to cut Black's fingers.,DURANT... slips one of Black's fingers into his cigar trimmer. SNIP! Black screams,detailed description
19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], What is Julie's emotional state as she ascends the stairs?",Uneasy,JULIE is uneasy. She halts halfway up the stairs to listen.,character states
30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant demand from Peyton?,The Bellasaurious memorandum,DURANT: We have come only for documents... tell us where to find the Bellasaurious memorandum,dialogue/beliefs
35、EXT. GRAVEYARD - CLOSE SHOT - JULIE - DAY,What does the Gravedigger believe people are paying for?,The real estate.,It's the real estate.,dialogue/beliefs
6、INT WESTLAKE LAB,"In [6、INT WESTLAKE LAB], How does Peyton behave during Yakitito's outburst?",Calm and analytical,Peyton calmly taps a plastic dunking bird and gives rational advice,character states
59、EXT. STREET - DAY,Why does the woman shriek and need to be restrained?,Because she sees Pauly's dead body and Darkman,A SHOCKED WOMAN looks up from Pauly's dead face to a nearby park-bench... THE WOMAN SHRIEKS and SHRIEKS. She has to be restrained by the crowd,causal/relational queries
10、INT WESTLAKE LAB - DAY - A GLASS BEAKER,What causes Peyton to mention his father's disapproval?,Yakitito's suggestion that he might ask Peyton to marry him.,YAKITITO Maybe I ask to marry you. PEYTON Your father would never approve of me.,causal/relational queries
13、EXT. LIMOUSINE,"In [13、EXT. LIMOUSINE], What is the driver's behavioral state when approaching the tire?",Discreetly removing a straight-razor,THE DRIVER discretely removes a straight-razor from his coat pocket and approaches the tire.,character states
55、INT. ONASSIS CONEY ISLAND RESTAURANT,Why is Guzman angry?,Because Durant is upset about not knowing Rick's location.,Durant piss me off. How de hell should we know where Rick is?,causal/relational queries
36、EXT. GRAVEYARD - LONG-SHOT - DAY,What instruction does the Resident give after describing the technique?,He says to stick the patient with a pin once pain impulses are blocked.,"RESIDENT No longer receiving impulses of pain, you stick him with a pin...",dialogue/beliefs
23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's current life situation as described in the passage?",Starting to build her career at the firm and wants her own place.,"I'm just starting to get things going at the firm. And, you know, I kind of like having my own PLACE.",character states
59、EXT. STREET - DAY,"In [59、EXT. STREET - DAY], Why is Darkman's synthetic cheek melting?",Because of the bright sunlight,His synthetic cheek is melting where the bright sunlight hits it,causal/relational queries
