scene,question,answer,evidence,qa_type
3、EXT/INT. THE DURHAM BULL DUGOUT -- NIGHT,What does Larry do with the red man chewing tobacco and bubble gum?,"Rolls tobacco into bubble gum, folds corners, and tucks it neatly","LARRY ROLLS SOME RED MAN CHEWING TOBACCO into a slab of pink bubble gum, carefully folding the corners, tucking it neatly together",detailed description
35、EXT. THE BALLPARK SIMULTANEOUS -- NIGHT,What caused Bobby's wife to think he'll be in a terrible mood?,He went hitless again.,Bobby went hitless again. He's gonna be in a terrible mood...,causal/relational queries
30、EXT. DURHAM BASEBALL PARK -- DUSK,Why is Nuke on a pay phone?,To contact his father.,NUKE Hello? Dad? This is Ebby.,causal/relational queries
19、INT. ANNIE'S LIVING ROOM -- NIGHT,"In [19、INT. ANNIE'S LIVING ROOM -- NIGHT], What is Ebbby's emotional state during the conversation?",Nervous,"Ebby is clearly more nervous than Crash, who's been in some strange rooms in his minor league career.",character states
58、INT. THE KINGSTON HOTEL ROOM -- NIGHT,What does Mickey believe about the champagne?,He expects it to be 'serious shit' for the price.,MICKEY: For seven bucks it better be some serious shit.,dialogue/beliefs
25、INT. DURHAM BULLS LOCKER ROOM -- DAY,"In [25、INT. DURHAM BULLS LOCKER ROOM -- DAY], What is Ebbys' physical condition when he enters the locker room?",He looks trashed.,EBBY ENTERS THE LOCKER ROOM -- He looks trashed.,character states
23、EXT. DOWNTOWN DURHAM -- NIGHT,"In [23、EXT. DOWNTOWN DURHAM -- NIGHT], What is Crash's emotional state during batting practice?",Intense concentration,CLOSE ON CRASH'S EYES -- Studying the 'pitches' with intense concentration,character states
11、INT. THE DUGOUT,"In [11、INT. THE DUGOUT], What is Skip's behavioral state when he speaks to Larry?",Mumbling flatly,mumbles flatly to Larry,character states
32、EXT. THE BULLPEN -- CONTINUOUS,"In [32、EXT. THE BULLPEN -- CONTINUOUS], What role does Jose claim to have?",A switch-hitting witch,JOSE I'm a switch hitting witch. Very common in Puerto Rico.,character states
43、INT. DURHAM RADIO STATION -- DAY,Why does Teddy punch a cassette after the assistant's note?,To trigger a crowd roar sound effect,PUNCHES A CASSETTE -- A crowd roars.,causal/relational queries
58、INT. THE KINGSTON HOTEL ROOM -- NIGHT,What does Deke say about the champagne?,He spent a day's meal money and demands it be good.,"DEKE: Par--ty! I blew a whole day's meal money for this champagne seven dollars, man, it better be good.",dialogue/beliefs
43、INT. DURHAM RADIO STATION -- DAY,What causes Teddy to hit the jar with a mallet?,To create the sound of a ball hitting the bat,TEDDY HITS A TINY MALLET against a jar. Thunk. The sound of ball hitting bat.,causal/relational queries
28、EXT. CRASH GETS INTO HIS CAR -- CONTINUOUS,"In [28、EXT. CRASH GETS INTO HIS CAR -- CONTINUOUS], What is Annie's behavioral state as depicted in the passage?",Biting her fist,ANNIE BITES HER FIST watching Crash leave.,character states
