scene,question,answer,evidence,qa_type
41、INT. POOH-BEARS HOUSE - DAY,"In [41、INT. POOH-BEARS HOUSE - DAY], What is Danny's behavioral state when he accepts the eggs?",Hesitant but compliant,"Not wanting to offend him, Danny concedes.",character states
49、INT. CINDER BLOCK BAR - NIGHT,Why must the courier comply with the demands?,Because of superior numbers and high-tech weapons.,"Facing superior numbers and an array of high-tech weapons, the courier will have no choice but to comply with our demands.",causal/relational queries
55、INT. RESIDENTIAL HOTEL - NIGHT (LATER),What effect does Colette's appearance have on Danny?,It makes him feel like he should get involved.,That face. Those eyes. Everything about her says 'Get involved.',causal/relational queries
43、INT. CINDER BLOCK BAR - NIGHT,"In [43、INT. CINDER BLOCK BAR - NIGHT], What is Danny's physical condition?","Exhausted, with a pinched face and bags under his eyes.","He looks exhausted, his face is pinched, there are bags under his eyes.",character states
55、INT. RESIDENTIAL HOTEL - NIGHT (LATER),Why is Colette sobbing?,She was kicked out by her boyfriend Quincey.,"COLETTE: Quincey, my boyfriend... he kicked me out.",causal/relational queries
26、INT. RESIDENTIAL HOTEL ROOM - NIGHT,"In [26、INT. RESIDENTIAL HOTEL ROOM - NIGHT], Who is pictured in the photo inside the trumpet case?",A woman with a self-conscious smile.,A PHOTO OF A WOMAN taped to the inside of the lid. A self-conscious smile on her face like she's uncomfortable with having her picture taken.,objects/props
28、INT. RESIDENTIAL HOTEL ROOM - NIGHT,What does Danny say at the vanity?,"Okay, we'll stay. We'll stay.","DANNY (at the vanity, whispering) Okay, we'll stay. We'll stay.",dialogue/beliefs
33、EXT. STREET - NIGHT,"In [33、EXT. STREET - NIGHT], What is Danny's emotional state when the red car passes him?",He is trying to remain calm.,Danny plays it cool. Keeps walking.,character states
9、INT. KITCHEN - NIGHT,"In [9、INT. KITCHEN - NIGHT], What emotional state does Danny express when he says 'Oh-oh'?",Alarmed,DANNY (cont'd) Oh-oh.,character states
6、EXT. TRUCK STOP PARKING LOT - NIGHT,When did the government crack down according to Danny's narration?,By the late 60's,By the late 60's the government finally cracked down and sent the whole thing underground.,temporal references
15、EXT. CHEAP MOTEL ROOM - DAY,What happens to the door when the spears strike?,"Two spears plunge through the cheap door, stopping inches from Danny's head.","WHAP, WHAP! Two spears plunge through the cheap door, stopping inches from Danny's head.",detailed description
30、EXT. CEMETERY - NIGHT,What does Danny claim about the painting's quality?,It's downright classy is what it is,DANNY It's downright classy is what it is.,dialogue/beliefs
7、INT. TRACTOR-TRAILER - NIGHT,How is the trucker gripping the wheel?,Gripping the wheel with a death-grip,The trucker gripping the wheel with the same death-grip as the Kamikaze.,detailed description
4、INT. HOUSE - DAY,What action does the housewife perform repeatedly on the floor?,She attacks the same spot over and over again,"She attacks the same spot over and over again, one hand clutching the vacuum",detailed description
45、INT. CINDER BLOCK BAR - NIGHT,"In [45、INT. CINDER BLOCK BAR - NIGHT], How is Colette feeling during the kiss?",Not enjoying it,She obviously isn't enjoying it.,character states
33、EXT. STREET - NIGHT,"In [33、EXT. STREET - NIGHT], What action does Danny take to avoid detection by the red car?",He squeezes behind a dumpster.,"Danny squeezed behind a dumpster, watching.",character states
41、INT. POOH-BEARS HOUSE - DAY,"In [41、INT. POOH-BEARS HOUSE - DAY], What is Pooh-Bear's emotional state when he insists on Danny tasting the eggs?",Friendly and persistent,Pooh-Bear winks and shovels some more down.,character states
32、INT. CINDER BLOCK BAR - SAME,Why does Danny need cash?,He needs to leave town.,I need to leave town and I find myself in dire need of some cash.,causal/relational queries
22、EXT. PARK - NIGHT,"In [22、EXT. PARK - NIGHT], What emotional state does Danny express when warning Tanner?",Concerned about the kid,"Danny says, 'I'm worried about the kid.'",character states
